title,id,genres
테넷,190010,"[{'id': '19', 'name': '액션'}, {'id': '18', 'name': 'SF'}]"
다만 악에서 구하소서,189069,"[{'id': '16', 'name': '범죄'}, {'id': '19', 'name': '액션'}]"
오케이 마담,182234,"[{'id': '11', 'name': '코미디'}, {'id': '19', 'name': '액션'}]"
극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,183772,"[{'id': '15', 'name': '애니메이션'}]"
캐리비안 해적과 마법 다이아몬드,194313,"[{'id': '15', 'name': '애니메이션'}, {'id': '12', 'name': '가족'}]"
남매의 여름밤,189623,"[{'id': '1', 'name': '드라마'}]"
나의 소녀시대,142691,"[{'id': '5', 'name': '멜로/로맨스'}, {'id': '1', 'name': '드라마'}]"
69세,189373,"[{'id': '1', 'name': '드라마'}]"
강철비2: 정상회담,188909,"[{'id': '1', 'name': '드라마'}, {'id': '19', 'name': '액션'}]"
엘라 벨라 빙고: 친구 찾기 대작전,192247,"[{'id': '15', 'name': '애니메이션'}]"
워터 릴리스,67457,"[{'id': '1', 'name': '드라마'}, {'id': '5', 'name': '멜로/로맨스'}]"
반교: 디텐션,189618,"[{'id': '4', 'name': '공포'}]"
극장판 시로바코,192612,"[{'id': '15', 'name': '애니메이션'}, {'id': '1', 'name': '드라마'}]"
이장,185150,"[{'id': '1', 'name': '드라마'}]"
소년 아메드,185269,"[{'id': '1', 'name': '드라마'}]"
시크릿 가든,193799,"[{'id': '1', 'name': '드라마'}, {'id': '12', 'name': '가족'}, {'id': '2', 'name': '판타지'}]"
사랑이 눈뜰 때,158617,"[{'id': '1', 'name': '드라마'}, {'id': '5', 'name': '멜로/로맨스'}]"
반도,185917,"[{'id': '19', 'name': '액션'}, {'id': '1', 'name': '드라마'}]"
동아시아반일무장전선,185139,"[{'id': '10', 'name': '다큐멘터리'}]"
왕의 남자,39894,"[{'id': '1', 'name': '드라마'}]"
더 프린세스 : 도둑맞은 공주,178351,"[{'id': '15', 'name': '애니메이션'}, {'id': '2', 'name': '판타지'}]"
메멘토,31940,"[{'id': '16', 'name': '범죄'}, {'id': '7', 'name': '스릴러'}, {'id': '13', 'name': '미스터리'}]"
소년시절의 너,192066,"[{'id': '5', 'name': '멜로/로맨스'}, {'id': '1', 'name': '드라마'}, {'id': '16', 'name': '범죄'}, {'id': '12', 'name': '가족'}]"
카오산 탱고,174261,"[{'id': '1', 'name': '드라마'}, {'id': '5', 'name': '멜로/로맨스'}]"
부다페스트 스토리,190355,"[{'id': '7', 'name': '스릴러'}, {'id': '1', 'name': '드라마'}, {'id': '5', 'name': '멜로/로맨스'}]"
셰이프 오브 뮤직: 알렉상드르 데스플라,177608,"[{'id': '10', 'name': '다큐멘터리'}]"
타오르는 여인의 초상,185282,"[{'id': '1', 'name': '드라마'}]"
어서오시게스트하우스,186239,"[{'id': '11', 'name': '코미디'}, {'id': '1', 'name': '드라마'}]"
동주,134899,"[{'id': '1', 'name': '드라마'}]"
찬실이는 복도 많지,189624,"[{'id': '1', 'name': '드라마'}, {'id': '5', 'name': '멜로/로맨스'}, {'id': '2', 'name': '판타지'}]"
마티아스와 막심,185273,"[{'id': '1', 'name': '드라마'}]"
밤의 문이 열린다,176625,"[{'id': '2', 'name': '판타지'}, {'id': '1', 'name': '드라마'}, {'id': '12', 'name': '가족'}, {'id': '13', 'name': '미스터리'}]"
사도,121922,"[{'id': '1', 'name': '드라마'}]"
라라랜드,134963,"[{'id': '1', 'name': '드라마'}, {'id': '17', 'name': '뮤지컬'}, {'id': '5', 'name': '멜로/로맨스'}]"
태백권,194485,"[{'id': '11', 'name': '코미디'}, {'id': '19', 'name': '액션'}, {'id': '1', 'name': '드라마'}]"
덩케르크 이스케이프,195689,"[{'id': '14', 'name': '전쟁'}, {'id': '19', 'name': '액션'}]"
가버나움,174830,"[{'id': '1', 'name': '드라마'}]"
박열,155716,"[{'id': '1', 'name': '드라마'}, {'id': '6', 'name': '모험'}, {'id': '5', 'name': '멜로/로맨스'}]"
여름날,190458,"[{'id': '1', 'name': '드라마'}]"
당신을 기다리는 시간,143543,"[{'id': '1', 'name': '드라마'}]"
주온 : 끝의 시작,124042,"[{'id': '4', 'name': '공포'}]"
킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,191642,"[{'id': '15', 'name': '애니메이션'}]"
트랜짓,173247,"[{'id': '1', 'name': '드라마'}, {'id': '18', 'name': 'SF'}]"
그레이트 뷰티,104072,"[{'id': '11', 'name': '코미디'}, {'id': '1', 'name': '드라마'}]"
다가오는 것들,147945,"[{'id': '1', 'name': '드라마'}]"
주식회사 스페셜액터스,195180,"[{'id': '11', 'name': '코미디'}]"
아이 엠 러브,71151,"[{'id': '1', 'name': '드라마'}, {'id': '5', 'name': '멜로/로맨스'}]"
벌새,179307,"[{'id': '1', 'name': '드라마'}]"
톰보이,85825,"[{'id': '1', 'name': '드라마'}]"
비행,172181,"[{'id': '1', 'name': '드라마'}, {'id': '16', 'name': '범죄'}]"
카페 벨에포크,185285,"[{'id': '11', 'name': '코미디'}, {'id': '1', 'name': '드라마'}]"
블루 아워,183429,"[{'id': '1', 'name': '드라마'}]"
어게인,189747,"[{'id': '17', 'name': '뮤지컬'}, {'id': '1', 'name': '드라마'}]"
밤쉘: 세상을 바꾼 폭탄선언,191143,"[{'id': '1', 'name': '드라마'}]"
세인트 주디,168051,"[{'id': '1', 'name': '드라마'}]"
빅샤크3: 젤리몬스터 대소동,194799,"[{'id': '15', 'name': '애니메이션'}]"
애니멀 크래커,134824,"[{'id': '15', 'name': '애니메이션'}, {'id': '6', 'name': '모험'}, {'id': '12', 'name': '가족'}, {'id': '2', 'name': '판타지'}]"
존 윅 - 리로드,143932,"[{'id': '19', 'name': '액션'}, {'id': '16', 'name': '범죄'}, {'id': '7', 'name': '스릴러'}]"
나는보리,179394,"[{'id': '1', 'name': '드라마'}, {'id': '12', 'name': '가족'}]"
루비,189622,"[{'id': '1', 'name': '드라마'}]"
바람의 언덕,189438,"[{'id': '1', 'name': '드라마'}]"
블랙아웃 : 인베이젼 어스,182809,"[{'id': '19', 'name': '액션'}, {'id': '18', 'name': 'SF'}]"
비바리움,187294,"[{'id': '18', 'name': 'SF'}, {'id': '1', 'name': '드라마'}]"
성혜의 나라,174294,"[{'id': '1', 'name': '드라마'}]"
윤희에게,182387,"[{'id': '5', 'name': '멜로/로맨스'}]"
인셉션,52515,"[{'id': '19', 'name': '액션'}, {'id': '6', 'name': '모험'}, {'id': '18', 'name': 'SF'}, {'id': '7', 'name': '스릴러'}]"
쉘부르의 우산,10323,"[{'id': '1', 'name': '드라마'}, {'id': '17', 'name': '뮤지컬'}, {'id': '5', 'name': '멜로/로맨스'}]"
아이 캔 온리 이매진,169647,"[{'id': '1', 'name': '드라마'}, {'id': '12', 'name': '가족'}]"
애프터 웨딩 인 뉴욕,182042,"[{'id': '1', 'name': '드라마'}]"
큐리오사,185256,"[{'id': '1', 'name': '드라마'}, {'id': '5', 'name': '멜로/로맨스'}]"
파리의 인어,194486,"[{'id': '2', 'name': '판타지'}, {'id': '5', 'name': '멜로/로맨스'}]"
프리저베이션 홀 재즈밴드,183658,"[{'id': '10', 'name': '다큐멘터리'}]"
16세의 사운드트랙,194004,"[{'id': '11', 'name': '코미디'}, {'id': '5', 'name': '멜로/로맨스'}]"
500일의 썸머,53152,"[{'id': '11', 'name': '코미디'}, {'id': '1', 'name': '드라마'}, {'id': '5', 'name': '멜로/로맨스'}]"
계절과 계절 사이,179393,"[{'id': '1', 'name': '드라마'}, {'id': '5', 'name': '멜로/로맨스'}]"
그때 그들,167616,"[{'id': '1', 'name': '드라마'}, {'id': '11', 'name': '코미디'}]"
김복동,185131,"[{'id': '10', 'name': '다큐멘터리'}]"
너와 파도를 탈 수 있다면,186348,"[{'id': '15', 'name': '애니메이션'}, {'id': '5', 'name': '멜로/로맨스'}]"
